edition,round,score,team1,team2,venue,year
1958-SWEDEN,PRELIMINARY-Europe,1-1 (1-1),Portugal,Northern Ireland (Ulster),Lisboa.,1957
1958-SWEDEN,PRELIMINARY-N/C.America,2-6 (1-4),Guatemala,Costa Rica,Guatemala.,1957
1958-SWEDEN,PRELIMINARY-N/C.America,3-1 (2-0),Costa Rica,Guatemala,San_José.,1957
1958-SWEDEN,PRELIMINARY-N/C.America,4-0 (2-0),Costa Rica,Curaçao,San_José.,1957
1958-SWEDEN,PRELIMINARY-Afr./As.,1-0 (0-0),Sudan (السودان),Syria (سوريا),Khartoum.,1957
1958-SWEDEN,PRELIMINARY-Europe,2-2 (1-1),Spain (España),Switzerland (Schweiz / Suisse),Madrid.,1957
1958-SWEDEN,PRELIMINARY-N/C.America,1-3 (1-2),Guatemala,Curaçao,Guatemala.,1957
1958-SWEDEN,PRELIMINARY-Europe,4-1 (2-1),Netherlands (Nederland),Luxembourg (Lëtzebuerg),Rotterdam.,1957
1958-SWEDEN,PRELIMINARY-N/C.America,6-0 (3-0),Mexico (México),USA,México D.F.,1957
1958-SWEDEN,PRELIMINARY-S.America,1-1 (1-0),Peru (Perú),Brazil (Brasil),Lima.,1957
1958-SWEDEN,PRELIMINARY-S.America,1-0 (1-0),Brazil (Brasil),Peru (Perú),Rio de Janeiro.,1957
1958-SWEDEN,PRELIMINARY-Europe,1-0 (1-0),Italy (Italia),Northern Ireland (Ulster),Roma.,1957
1958-SWEDEN,PRELIMINARY-N/C.America,2-7 (2-3),USA,Mexico (México),Los Angeles.,1957
1958-SWEDEN,PRELIMINARY-Europe,1-0 (0-0),Wales (Cymru),Czechoslovakia (Československo),Cardiff.,1957
1958-SWEDEN,PRELIMINARY-Europe,3-0 (1-0),Northern Ireland (Ulster),Portugal,Belfast.,1957
1958-SWEDEN,PRELIMINARY-Europe,0-0 (0-0),Greece (Ελλάδα),Yugoslavia (Југославија),Athína.,1957
1958-SWEDEN,PRELIMINARY-Europe,5-1 (4-0),England,Ireland (Éire),London.,1957
1958-SWEDEN,PRELIMINARY-Europe,4-2 (2-1),Scotland,Spain (España),Glasgow.,1957
1958-SWEDEN,PRELIMINARY-Afr./As.,2-0 (0-0),Indonesia,China (中国),Jakarta.,1957
1958-SWEDEN,PRELIMINARY-Europe,1-4 (1-1),Denmark (Danmark),England,København.,1957
1958-SWEDEN,PRELIMINARY-Europe,1-1 (1-0),Ireland (Éire),England,Dublin.,1957
1958-SWEDEN,PRELIMINARY-Europe,2-1 (1-1),GDR (DDR / Ostdeutschland),Wales (Cymru),Leipzig.,1957
1958-SWEDEN,PRELIMINARY-Europe,1-2 (1-1),Switzerland (Schweiz / Suisse),Scotland,Basel.,1957
1958-SWEDEN,PRELIMINARY-Europe,1-2 (0-1),Norway (Norge),Bulgaria (България),Oslo.,1957
1958-SWEDEN,PRELIMINARY-Afr./As.,1-1 (0-1),Syria (سوريا),Sudan (السودان),Damascus.,1957
1958-SWEDEN,PRELIMINARY-Europe,2-0 (1-0),Czechoslovakia (Československo),Wales (Cymru),Praha.,1957
1958-SWEDEN,PRELIMINARY-Europe,3-2 (0-2),Austria (Österreich),Netherlands (Nederland),Wien.,1957
1958-SWEDEN,PRELIMINARY-Europe,3-0 (1-0),Portugal,Italy (Italia),Lisboa.,1957
1958-SWEDEN,PRELIMINARY-Europe,4-1 (2-0),Spain (España),Scotland,Madrid.,1957
1958-SWEDEN,PRELIMINARY-Europe,8-0 (5-0),France,Iceland (Ísland),Nantes.,1957
1958-SWEDEN,PRELIMINARY-Afr./As.,4-3 (2-1),China (中国),Indonesia,Beijing.,1957
1958-SWEDEN,PRELIMINARY-Europe,8-3 (7-1),Belgium (België),Iceland (Ísland),Bruxelles.,1957
1958-SWEDEN,PRELIMINARY-Europe,2-1 (1-1),Norway (Norge),Hungary (Magyarország),Oslo.,1957
1958-SWEDEN,PRELIMINARY-Europe,3-1 (0-1),Czechoslovakia (Československo),GDR (DDR / Ostdeutschland),Brno.,1957
1958-SWEDEN,PRELIMINARY-Europe,1-2 (1-1),Greece (Ελλάδα),Romania (România),Athína.,1957
1958-SWEDEN,PRELIMINARY-S.America,1-1 (1-0),Colombia,Uruguay,Bogotá.,1957
1958-SWEDEN,PRELIMINARY-S.America,2-3 (1-1),Colombia,Paraguay,Bogotá.,1957
1958-SWEDEN,PRELIMINARY-N/C.America,5-1 (2-1),Canada,USA,Toronto.,1957
1958-SWEDEN,PRELIMINARY-Europe,4-1 (3-0),Hungary (Magyarország),Bulgaria (България),Budapest.,1957
1958-SWEDEN,PRELIMINARY-Europe,3-0 (1-0),Soviet Union (СССР),Poland (Polska),Moskva.,1957
1958-SWEDEN,PRELIMINARY-Afr./As.,0-0 (0-0),Indonesia,China (中国),Rangoon.,1957
1958-SWEDEN,PRELIMINARY-S.America,1-0 (0-0),Uruguay,Colombia,Montevideo.,1957
1958-SWEDEN,PRELIMINARY-N/C.America,0-3 (0-1),Canada,Mexico (México),México D.F.,1957
1958-SWEDEN,PRELIMINARY-N/C.America,2-0 (2-0),Mexico (México),Canada,México D.F.,1957
1958-SWEDEN,PRELIMINARY-Europe,1-3 (0-1),Finland (Suomi),Poland (Polska),Helsinki.,1957
1958-SWEDEN,PRELIMINARY-N/C.America,2-3 (1-3),USA,Canada,St._Louis.,1957
1958-SWEDEN,PRELIMINARY-S.America,3-0 (1-0),Paraguay,Colombia,Asunción.,1957
1958-SWEDEN,PRELIMINARY-S.America,5-0 (1-0),Paraguay,Uruguay,Asunción.,1957
1958-SWEDEN,PRELIMINARY-Europe,2-1 (1-1),Soviet Union (СССР),Finland (Suomi),Moskva.,1957
1958-SWEDEN,PRELIMINARY-S.America,2-0 (1-0),Uruguay,Paraguay,Montevideo.,1957
1958-SWEDEN,PRELIMINARY-N/C.America,1-2 (0-1),Curaçao,Costa Rica,Willemstad.,1957
1958-SWEDEN,PRELIMINARY-N/C.America,2-0 (w.o.),Curaçao,Guatemala,Willemstad.,1957
1958-SWEDEN,PRELIMINARY-Europe,0-10 (0-7),Finland (Suomi),Soviet Union (СССР),Helsinki.,1957
1958-SWEDEN,PRELIMINARY-Europe,1-5 (0-2),Iceland (Ísland),France,Reykjavík.,1957
1958-SWEDEN,PRELIMINARY-Europe,2-5 (1-2),Iceland (Ísland),Belgium (België),Reykjavík.,1957
1958-SWEDEN,PRELIMINARY-Europe,2-5 (1-4),Luxembourg (Lëtzebuerg),Netherlands (Nederland),Rotterdam.,1957
1958-SWEDEN,PRELIMINARY-Europe,1-2 (1-2),Bulgaria (България),Hungary (Magyarország),Sofija.,1957
1958-SWEDEN,PRELIMINARY-S.America,2-1 (1-1),Chile,Bolivia,Santiago.,1957
1958-SWEDEN,PRELIMINARY-Europe,4-1 (3-0),Wales (Cymru),GDR (DDR / Ostdeutschland),Cardiff.,1957
1958-SWEDEN,PRELIMINARY-Europe,1-1 (0-1),Netherlands (Nederland),Austria (Österreich),Amsterdam.,1957
1958-SWEDEN,PRELIMINARY-Europe,0-3 (0-1),Luxembourg (Lëtzebuerg),Austria (Österreich),Luxembourg.,1957
1958-SWEDEN,PRELIMINARY-Europe,1-1 (0-0),Romania (România),Yugoslavia (Југославија),Bucureşti.,1957
1958-SWEDEN,PRELIMINARY-S.America,3-0 (1-0),Bolivia,Chile,La_Paz.,1957
1958-SWEDEN,PRELIMINARY-Europe,0-2 (0-0),Denmark (Danmark),Ireland (Éire),København.,1957
1958-SWEDEN,PRELIMINARY-S.America,2-0 (1-0),Bolivia,Argentina,La_Paz.,1957
1958-SWEDEN,PRELIMINARY-S.America,0-2 (0-1),Chile,Argentina,Santiago.,1957
1958-SWEDEN,PRELIMINARY-Europe,2-1 (1-0),Poland (Polska),Soviet Union (СССР),Chorzów.,1957
1958-SWEDEN,PRELIMINARY-S.America,4-0 (4-0),Argentina,Chile,Buenos Aires.,1957
1958-SWEDEN,PRELIMINARY-N/C.America,2-0 (0-0),Mexico (México),Costa Rica,México D.F.,1957
1958-SWEDEN,PRELIMINARY-Europe,0-0 (0-0),Belgium (België),France,Bruxelles.,1957
1958-SWEDEN,PRELIMINARY-Europe,1-4 (1-3),GDR (DDR / Ostdeutschland),Czechoslovakia (Československo),Leipzig.,1957
1958-SWEDEN,PRELIMINARY-S.America,4-0 (1-0),Argentina,Bolivia,Buenos Aires.,1957
1958-SWEDEN,PRELIMINARY-N/C.America,1-1 (1-1),Costa Rica,Mexico (México),San_José.,1957
1958-SWEDEN,PRELIMINARY-Europe,7-0 (3-0),Bulgaria (България),Norway (Norge),Sofija.,1957
1958-SWEDEN,PRELIMINARY-Europe,4-0 (2-0),Poland (Polska),Finland (Suomi),Warszawa.,1957
1958-SWEDEN,PRELIMINARY-Europe,3-0 (0-0),Romania (România),Greece (Ελλάδα),Bucureşti.,1957
1958-SWEDEN,PRELIMINARY-Europe,3-2 (1-1),Scotland,Switzerland (Schweiz / Suisse),Glasgow.,1957
1958-SWEDEN,PRELIMINARY-Europe,5-0 (2-0),Hungary (Magyarország),Norway (Norge),Budapest.,1957
1958-SWEDEN,PRELIMINARY-Europe,4-1 (2-1),Yugoslavia (Југославија),Greece (Ελλάδα),Beograd.,1957
1958-SWEDEN,PRELIMINARY-Europe,2-0 (0-0),Yugoslavia (Југославија),Romania (România),Beograd.,1957
1958-SWEDEN,PRELIMINARY-Europe,2-0 (1-0),Soviet Union (СССР),Poland (Polska),Leipzig.,1957
1958-SWEDEN,PRELIMINARY-Europe,1-4 (0-2),Switzerland (Schweiz / Suisse),Spain (España),Lausanne.,1957
1958-SWEDEN,PRELIMINARY-Europe,3-0 (1-0),Italy (Italia),Portugal,Milano.,1957
1958-SWEDEN,PRELIMINARY-Europe,2-1 (2-0),Northern Ireland (Ulster),Italy (Italia),Belfast.,1958
1958-SWEDEN,PRELIMINARY-Afr./As.,0-2 (0-1),Israel (ישראל),Wales (Cymru),Tel Aviv.,1958
1958-SWEDEN,PRELIMINARY-Afr./As.,2-0 (0-0),Wales (Cymru),Israel (ישראל),Cardiff.,1958
1958-SWEDEN,GROUP_STAGE,3-0 (1-0),Sweden (Sverige),Mexico (México),Stockholm.,1958
1958-SWEDEN,GROUP_STAGE,3-1 (2-1),FRG (BRD / Westdeutschland),Argentina,Malmö.,1958
1958-SWEDEN,GROUP_STAGE,1-0 (1-0),Northern Ireland (Ulster),Czechoslovakia (Československo),Halmstad.,1958
1958-SWEDEN,GROUP_STAGE,7-3 (2-2),France,Paraguay,Norrköping.,1958
1958-SWEDEN,GROUP_STAGE,1-1 (1-0),Yugoslavia (Југославија),Scotland,Västerås.,1958
1958-SWEDEN,GROUP_STAGE,1-1 (1-1),Hungary (Magyarország),Wales (Cymru),Sandviken.,1958
1958-SWEDEN,GROUP_STAGE,2-2 (0-1),England,Soviet Union (СССР),Göteborg.,1958
1958-SWEDEN,GROUP_STAGE,3-0 (1-0),Brazil (Brasil),Austria (Österreich),Uddevalla.,1958
1958-SWEDEN,GROUP_STAGE,2-2 (0-2),FRG (BRD / Westdeutschland),Czechoslovakia (Československo),Helsingborg.,1958
1958-SWEDEN,GROUP_STAGE,3-1 (1-1),Argentina,Northern Ireland (Ulster),Halmstad.,1958
1958-SWEDEN,GROUP_STAGE,3-2 (2-1),Paraguay,Scotland,Norrköping.,1958
1958-SWEDEN,GROUP_STAGE,3-2 (1-1),Yugoslavia (Југославија),France,Västerås.,1958
1958-SWEDEN,GROUP_STAGE,1-1 (1-0),Wales (Cymru),Mexico (México),Stockholm.,1958
1958-SWEDEN,GROUP_STAGE,0-0 (0-0),Brazil (Brasil),England,Göteborg.,1958
1958-SWEDEN,GROUP_STAGE,2-0 (1-0),Soviet Union (СССР),Austria (Österreich),Borås.,1958
1958-SWEDEN,GROUP_STAGE,2-1 (1-0),Sweden (Sverige),Hungary (Magyarország),Stockholm.,1958
1958-SWEDEN,GROUP_STAGE,0-0 (0-0),Sweden (Sverige),Wales (Cymru),Stockholm.,1958
1958-SWEDEN,GROUP_STAGE,2-2 (1-1),FRG (BRD / Westdeutschland),Northern Ireland (Ulster),Malmö.,1958
1958-SWEDEN,GROUP_STAGE,6-1 (3-0),Czechoslovakia (Československo),Argentina,Helsingborg.,1958
1958-SWEDEN,GROUP_STAGE,2-1 (2-0),France,Scotland,Örebro.,1958
1958-SWEDEN,GROUP_STAGE,3-3 (2-1),Yugoslavia (Југославија),Paraguay,Eskilstuna.,1958
1958-SWEDEN,GROUP_STAGE,4-0 (1-0),Hungary (Magyarország),Mexico (México),Sandviken.,1958
1958-SWEDEN,GROUP_STAGE,2-0 (1-0),Brazil (Brasil),Soviet Union (СССР),Göteborg.,1958
1958-SWEDEN,GROUP_STAGE,2-2 (0-1),England,Austria (Österreich),Borås.,1958
1958-SWEDEN,GROUP_STAGE,2-1 (1-1) (a.e.t.) (r.),Northern Ireland (Ulster),Czechoslovakia (Československo),Malmö.,1958
1958-SWEDEN,GROUP_STAGE,2-1 (0-1) (r.),Wales (Cymru),Hungary (Magyarország),Stockholm.,1958
1958-SWEDEN,GROUP_STAGE,1-0 (0-0) (r.),Soviet Union (СССР),England,Göteborg.,1958
1958-SWEDEN,1/4_FINAL,2-0 (0-0),Sweden (Sverige),Soviet Union (СССР),Stockholm.,1958
1958-SWEDEN,1/4_FINAL,1-0 (1-0),FRG (BRD / Westdeutschland),Yugoslavia (Југославија),Malmö.,1958
1958-SWEDEN,1/4_FINAL,4-0 (1-0),France,Northern Ireland (Ulster),Norrköping.,1958
1958-SWEDEN,1/4_FINAL,1-0 (0-0),Brazil (Brasil),Wales (Cymru),Göteborg.,1958
1958-SWEDEN,1/2_FINAL,3-1 (1-1),Sweden (Sverige),FRG (BRD / Westdeutschland),Göteborg.,1958
1958-SWEDEN,1/2_FINAL,5-2 (2-1),Brazil (Brasil),France,Stockholm.,1958
1958-SWEDEN,PLACES_3&4,6-3 (3-1),France,FRG (BRD / Westdeutschland),Göteborg.,1958
1958-SWEDEN,_FINAL,5-2 (2-1),Brazil (Brasil),Sweden (Sverige),Stockholm.,1958
1962-CHILE,PRELIMINARY-N/C.America,3-2 (1-2),Costa Rica,Guatemala,San_José.,1960
1962-CHILE,PRELIMINARY-Eu./Afr.,4-1 (2-0),Ghana,Nigeria,Accra.,1960
1962-CHILE,PRELIMINARY-N/C.America,4-4 (1-2),Guatemala,Costa Rica,Guatemala.,1960
1962-CHILE,PRELIMINARY-N/C.America,2-1 (2-0),Honduras,Costa Rica,Tegucigalpa.,1960
1962-CHILE,PRELIMINARY-Eu./Afr.,2-2 (1-1),Nigeria,Ghana,Lagos.,1960
1962-CHILE,PRELIMINARY-N/C.America,5-0 (3-0),Costa Rica,Honduras,San_José.,1960
1962-CHILE,PRELIMINARY-Europe,1-2 (1-0),Finland (Suomi),France,Helsinki.,1960
1962-CHILE,PRELIMINARY-N/C.America,1-1 (0-1),Honduras,Guatemala,Tegucigalpa.,1960
1962-CHILE,PRELIMINARY-N/C.America,0-2 (0-0),Guatemala,Honduras,Guatemala.,1960
1962-CHILE,PRELIMINARY-N/C.America,1-2 (1-1),Dutch Guyana (Nederlands Guyana),Dutch Antilles (Nederlandse Antillen),Paramaribo.,1960
1962-CHILE,PRELIMINARY-Europe,2-0 (0-0),Sweden (Sverige),Belgium (België),Stockholm.,1960
1962-CHILE,PRELIMINARY-Europe,0-9 (0-4),Luxembourg (Lëtzebuerg),England,Luxembourg.,1960
1962-CHILE,PRELIMINARY-Europe,3-4 (1-1),Northern Ireland (Ulster),FRG (BRD / Westdeutschland),Belfast.,1960
1962-CHILE,PRELIMINARY-Eu./Afr.,2-1 (1-1),Morocco (المغرب),Tunisia (تونس),Casablanca.,1960
1962-CHILE,PRELIMINARY-Euro/As.,2-1 (2-1),South Korea (한국),Japan (日本),Seoul.,1960
1962-CHILE,PRELIMINARY-N/C.America,3-3 (1-3),USA,Mexico (México),Los Angeles.,1960
1962-CHILE,PRELIMINARY-E./Afr./As.,1-1 (1-1),Cyprus (Κύπρος),Israel (ישראל),Levkosía.,1960
1962-CHILE,PRELIMINARY-Eu./Afr.,2-1 (0-0),Tunisia (تونس),Morocco (المغرب),Tunis.,1960
1962-CHILE,PRELIMINARY-N/C.America,3-0 (3-0),Mexico (México),USA,México D.F.,1960
1962-CHILE,PRELIMINARY-Europe,2-4 (1-2),Belgium (België),Switzerland (Schweiz / Suisse),Bruxelles.,1960
1962-CHILE,PRELIMINARY-Europe,0-3 (0-3),Greece (Ελλάδα),FRG (BRD / Westdeutschland),Athína.,1960
1962-CHILE,PRELIMINARY-E./Afr./As.,6-1 (3-0),Israel (ישראל),Cyprus (Κύπρος),Tel Aviv.,1960
1962-CHILE,PRELIMINARY-N/C.America,0-0 (0-0),Dutch Antilles (Nederlandse Antillen),Dutch Guyana (Nederlands Guyana),Willemstad.,1960
1962-CHILE,PRELIMINARY-S.America,3-6 (0-4),Ecuador,Argentina,Guayaquil.,1960
1962-CHILE,PRELIMINARY-Europe,3-0 (0-0),France,Bulgaria (България),Paris.,1960
1962-CHILE,PRELIMINARY-S.America,5-0 (1-0),Argentina,Ecuador,Buenos Aires.,1960
1962-CHILE,PRELIMINARY-N/C.America,1-0 (1-0),Costa Rica,Honduras,Guatemala.,1961
1962-CHILE,PRELIMINARY-Eu./Afr.,1-1 (1-0),Morocco (المغرب),Tunisia (تونس),Palermo.,1961
1962-CHILE,PRELIMINARY-E./Afr./As.,1-0 (0-0),Israel (ישראל),Ethiopia (ኢትዮጵያ),Tel Aviv.,1961
1962-CHILE,PRELIMINARY-Europe,6-0 (1-0),Portugal,Luxembourg (Lëtzebuerg),Lisboa.,1961
1962-CHILE,PRELIMINARY-E./Afr./As.,2-3 (1-1),Ethiopia (ኢትዮጵያ),Israel (ישראל),Tel Aviv.,1961
1962-CHILE,PRELIMINARY-N/C.America,1-0 (0-0),Costa Rica,Mexico (México),San_José.,1961
1962-CHILE,PRELIMINARY-N/C.America,6-0 (4-0),Costa Rica,Dutch Antilles (Nederlandse Antillen),San_José.,1961
1962-CHILE,PRELIMINARY-Eu./Afr.,0-0 (0-0),Ghana,Morocco (المغرب),Accra.,1961
1962-CHILE,PRELIMINARY-N/C.America,7-0 (2-0),Mexico (México),Dutch Antilles (Nederlandse Antillen),México D.F.,1961
1962-CHILE,PRELIMINARY-N/C.America,4-1 (2-0),Mexico (México),Costa Rica,México D.F.,1961
1962-CHILE,PRELIMINARY-Europe,2-0 (1-0),Hungary (Magyarország),GDR (DDR / Ostdeutschland),Budapest.,1961
1962-CHILE,PRELIMINARY-Eu./Afr.,1-2 (1-1),Wales (Cymru),Spain (España),Cardiff.,1961
1962-CHILE,PRELIMINARY-N/C.America,2-0 (2-0),Dutch Antilles (Nederlandse Antillen),Costa Rica,Willemstad.,1961
1962-CHILE,PRELIMINARY-Europe,0-3 (0-3),Netherlands (Nederland),Hungary (Magyarország),Rotterdam.,1961
1962-CHILE,PRELIMINARY-S.America,1-0 (1-0),Colombia,Peru (Perú),Bogotá.,1961
1962-CHILE,PRELIMINARY-Europe,2-1 (1-0),Greece (Ελλάδα),Northern Ireland (Ulster),Athína.,1961
1962-CHILE,PRELIMINARY-Europe,4-1 (2-0),Scotland,Ireland (Éire),Glasgow.,1961
1962-CHILE,PRELIMINARY-Europe,0-3 (0-2),Ireland (Éire),Scotland,Dublin.,1961
1962-CHILE,PRELIMINARY-S.America,1-1 (1-1),Peru (Perú),Colombia,Lima.,1961
1962-CHILE,PRELIMINARY-Europe,2-1 (1-0),FRG (BRD / Westdeutschland),Northern Ireland (Ulster),West-Berlin.,1961
1962-CHILE,PRELIMINARY-Europe,1-1 (0-0),GDR (DDR / Ostdeutschland),Netherlands (Nederland),Leipzig.,1961
1962-CHILE,PRELIMINARY-Europe,4-0 (3-0),Czechoslovakia (Československo),Scotland,Bratislava.,1961
1962-CHILE,PRELIMINARY-Eu./Afr.,1-1 (0-0),Spain (España),Wales (Cymru),Madrid.,1961
1962-CHILE,PRELIMINARY-Europe,2-1 (2-0),Switzerland (Schweiz / Suisse),Belgium (België),Lausanne.,1961
1962-CHILE,PRELIMINARY-Europe,1-1 (0-0),Portugal,England,Lisboa.,1961
1962-CHILE,PRELIMINARY-N/C.America,0-0 (0-0),Dutch Antilles (Nederlandse Antillen),Mexico (México),Willemstad.,1961
1962-CHILE,PRELIMINARY-Europe,4-0 (2-0),Sweden (Sverige),Switzerland (Schweiz / Suisse),Stockholm.,1961
1962-CHILE,PRELIMINARY-Eu./Afr.,1-0 (1-0),Morocco (المغرب),Ghana,Casablanca.,1961
1962-CHILE,PRELIMINARY-Europe,0-1 (0-1),Norway (Norge),Turkey (Türkiye),Oslo.,1961
1962-CHILE,PRELIMINARY-Euro/As.,2-1 (1-0),Yugoslavia (Југославија),Poland (Polska),Beograd.,1961
1962-CHILE,PRELIMINARY-Euro/As.,0-2 (0-1),Japan (日本),South Korea (한국),Tokyo.,1961
1962-CHILE,PRELIMINARY-Europe,0-2 (0-1),Finland (Suomi),Bulgaria (България),Helsinki.,1961
1962-CHILE,PRELIMINARY-Europe,1-0 (1-0),Soviet Union (СССР),Turkey (Türkiye),Moskva.,1961
1962-CHILE,PRELIMINARY-Euro/As.,1-1 (1-1),Poland (Polska),Yugoslavia (Југославија),Chorzów.,1961
1962-CHILE,PRELIMINARY-Europe,5-2 (3-0),Soviet Union (СССР),Norway (Norge),Moskva.,1961
1962-CHILE,PRELIMINARY-S.America,1-1 (0-0),Bolivia,Uruguay,La_Paz.,1961
1962-CHILE,PRELIMINARY-S.America,2-1 (2-0),Uruguay,Bolivia,Montevideo.,1961
1962-CHILE,PRELIMINARY-Europe,0-3 (0-0),Norway (Norge),Soviet Union (СССР),Oslo.,1961
1962-CHILE,PRELIMINARY-Europe,2-3 (1-1),GDR (DDR / Ostdeutschland),Hungary (Magyarország),Ost-Berlin.,1961
1962-CHILE,PRELIMINARY-Europe,3-2 (1-1),Scotland,Czechoslovakia (Československo),Glasgow.,1961
1962-CHILE,PRELIMINARY-Europe,5-1 (3-1),France,Finland (Suomi),Paris.,1961
1962-CHILE,PRELIMINARY-Europe,4-1 (1-0),England,Luxembourg (Lëtzebuerg),London.,1961
1962-CHILE,PRELIMINARY-Europe,0-2 (0-0),Belgium (België),Sweden (Sverige),Bruxelles.,1961
1962-CHILE,PRELIMINARY-Europe,4-2 (1-0),Luxembourg (Lëtzebuerg),Portugal,Luxembourg.,1961
1962-CHILE,PRELIMINARY-Europe,1-3 (1-1),Ireland (Éire),Czechoslovakia (Československo),Dublin.,1961
1962-CHILE,PRELIMINARY-Euro/As.,5-1 (1-0),Yugoslavia (Југославија),South Korea (한국),Beograd.,1961
1962-CHILE,PRELIMINARY-E./Afr./As.,2-4 (2-0),Israel (ישראל),Italy (Italia),Tel Aviv.,1961
1962-CHILE,PRELIMINARY-Europe,2-0 (1-0),Northern Ireland (Ulster),Greece (Ελλάδα),Belfast.,1961
1962-CHILE,PRELIMINARY-Europe,2-1 (2-0),FRG (BRD / Westdeutschland),Greece (Ελλάδα),Augsburg.,1961
1962-CHILE,PRELIMINARY-Europe,3-3 (2-2),Hungary (Magyarország),Netherlands (Nederland),Budapest.,1961
1962-CHILE,PRELIMINARY-Europe,2-0 (2-0),England,Portugal,London.,1961
1962-CHILE,PRELIMINARY-Europe,3-2 (1-1),Switzerland (Schweiz / Suisse),Sweden (Sverige),Bern.,1961
1962-CHILE,PRELIMINARY-Europe,3-1 (2-1),Bulgaria (България),Finland (Suomi),Sofija.,1961
1962-CHILE,PRELIMINARY-Europe,2-1 (0-0),Turkey (Türkiye),Norway (Norge),İstanbul.,1961
1962-CHILE,PRELIMINARY-Europe,7-1 (4-0),Czechoslovakia (Československo),Ireland (Éire),Praha.,1961
1962-CHILE,PRELIMINARY-N/C.America,1-0 (0-0),Mexico (México),Paraguay,México D.F.,1961
1962-CHILE,PRELIMINARY-E./Afr./As.,6-0 (1-0),Italy (Italia),Israel (ישראל),Torino.,1961
1962-CHILE,PRELIMINARY-N/C.America,0-0 (0-0),Paraguay,Mexico (México),Asunción.,1961
1962-CHILE,PRELIMINARY-Europe,2-1 (0-1),Switzerland (Schweiz / Suisse),Sweden (Sverige),West-Berlin.,1961
1962-CHILE,PRELIMINARY-Europe,1-0 (0-0),Bulgaria (България),France,Sofija.,1961
1962-CHILE,PRELIMINARY-Europe,1-2 (1-2),Turkey (Türkiye),Soviet Union (СССР),İstanbul.,1961
1962-CHILE,PRELIMINARY-Eu./Afr.,0-1 (0-0),Morocco (المغرب),Spain (España),Casablanca.,1961
1962-CHILE,PRELIMINARY-Eu./Afr.,3-2 (2-1),Spain (España),Morocco (المغرب),Madrid.,1961
1962-CHILE,PRELIMINARY-Euro/As.,1-3 (0-2),South Korea (한국),Yugoslavia (Југославија),Seoul.,1961
1962-CHILE,PRELIMINARY-Europe,4-2 (0-1),Czechoslovakia (Československo),Scotland,Bruxelles.,1961
1962-CHILE,PRELIMINARY-Europe,1-0 (0-0),Bulgaria (България),France,Milano.,1961
1962-CHILE,GROUP_STAGE,2-1 (0-1),Uruguay,Colombia,Arica.,1962
1962-CHILE,GROUP_STAGE,3-1 (1-1),Chile,Switzerland (Schweiz / Suisse),Santiago.,1962
1962-CHILE,GROUP_STAGE,2-0 (0-0),Brazil (Brasil),Mexico (México),Viña del Mar.,1962
1962-CHILE,GROUP_STAGE,1-0 (1-0),Argentina,Bulgaria (България),Rancagua.,1962
1962-CHILE,GROUP_STAGE,2-0 (0-0),Soviet Union (СССР),Yugoslavia (Југославија),Arica.,1962
1962-CHILE,GROUP_STAGE,0-0 (0-0),FRG (BRD / Westdeutschland),Italy (Italia),Santiago.,1962
1962-CHILE,GROUP_STAGE,1-0 (0-0),Czechoslovakia (Československo),Spain (España),Viña del Mar.,1962
1962-CHILE,GROUP_STAGE,2-1 (1-0),Hungary (Magyarország),England,Rancagua.,1962
1962-CHILE,GROUP_STAGE,3-1 (2-1),Yugoslavia (Југославија),Uruguay,Santiago.,1962
1962-CHILE,GROUP_STAGE,2-0 (0-0),Chile,Italy (Italia),Viña del Mar.,1962
1962-CHILE,GROUP_STAGE,0-0 (0-0),Brazil (Brasil),Czechoslovakia (Československo),Rancagua.,1962
1962-CHILE,GROUP_STAGE,3-1 (2-0),England,Argentina,Arica.,1962
1962-CHILE,GROUP_STAGE,4-4 (3-1),Soviet Union (СССР),Colombia,Arica.,1962
1962-CHILE,GROUP_STAGE,2-1 (1-0),FRG (BRD / Westdeutschland),Switzerland (Schweiz / Suisse),Santiago.,1962
1962-CHILE,GROUP_STAGE,1-0 (0-0),Spain (España),Mexico (México),Viña del Mar.,1962
1962-CHILE,GROUP_STAGE,6-1 (4-0),Hungary (Magyarország),Bulgaria (България),Rancagua.,1962
1962-CHILE,GROUP_STAGE,2-1 (1-0),Soviet Union (СССР),Uruguay,Arica.,1962
1962-CHILE,GROUP_STAGE,2-0 (1-0),FRG (BRD / Westdeutschland),Chile,Santiago.,1962
1962-CHILE,GROUP_STAGE,2-1 (0-1),Brazil (Brasil),Spain (España),Viña del Mar.,1962
1962-CHILE,GROUP_STAGE,0-0 (0-0),Hungary (Magyarország),Argentina,Rancagua.,1962
1962-CHILE,GROUP_STAGE,5-0 (2-0),Yugoslavia (Југославија),Colombia,Arica.,1962
1962-CHILE,GROUP_STAGE,3-0 (1-0),Italy (Italia),Switzerland (Schweiz / Suisse),Santiago.,1962
1962-CHILE,GROUP_STAGE,3-1 (2-1),Mexico (México),Czechoslovakia (Československo),Viña del Mar.,1962
1962-CHILE,GROUP_STAGE,0-0 (0-0),England,Bulgaria (България),Rancagua.,1962
1962-CHILE,1/4_FINAL,2-1 (2-1),Chile,Soviet Union (СССР),Arica.,1962
1962-CHILE,1/4_FINAL,1-0 (0-0),Yugoslavia (Југославија),FRG (BRD / Westdeutschland),Santiago.,1962
